name,ICAO,IATA,OtherCode,crownDependency,designated,british,label
Elsenthal Grafe Airport,EDNF,,,False,False,False,Elsenthal Grafe Airport (Germany) (EDNF)
HAL Airport,VOBG,,,False,False,False,HAL Airport (India) (VOBG)
Omarama Glider Airport,NZOA,,,False,False,False,Omarama Glider Airport (New Zealand) (NZOA)
Haast Aerodrome,NZHT,,,False,False,False,Haast Aerodrome (New Zealand) (NZHT)
Meschede-Schüren Airport,EDKM,,,False,False,False,Meschede-Schüren Airport (Germany) (EDKM)
Jumandy Airport,SEJD,TNW,,False,False,False,Jumandy Airport (Ecuador) (SEJD / TNW)
Morro da Urca Heliport,SDHU,,,False,False,False,Morro da Urca Heliport (Brazil) (SDHU)
Dongji Aiport,ZYFY,FYJ,,False,False,False,Dongji Aiport (China) (ZYFY / FYJ)
Skúvoy Heliport,EKSY,,,False,False,False,Skúvoy Heliport (Faroe Islands) (EKSY)
Stóra Dímun Heliport,EKSR,,,False,False,False,Stóra Dímun Heliport (Faroe Islands) (EKSR)
Frooba Heliport,EKFA,,,False,False,False,Frooba Heliport (Faroe Islands) (EKFA)
Person County Airport,KTDF,,,False,False,False,Person County Airport (United States) (KTDF)
Zulu Inyala Airport,FADQ,PZL,,False,False,False,Zulu Inyala Airport (South Africa) (FADQ / PZL)
Liupanshui Yuezhao Airport,ZUPS,LPF,,False,False,False,Liupanshui Yuezhao Airport (China) (ZUPS / LPF)
Kaili Airport,ZUKJ,KJH,,False,False,False,Kaili Airport (China) (ZUKJ / KJH)
Shennongjia Hongping Airport,ZHSN,HPG,,False,False,False,Shennongjia Hongping Airport (China) (ZHSN / HPG)
Zhangjiakou Ningyuan Airport,ZBZJ,ZQZ,,False,False,False,Zhangjiakou Ningyuan Airport (China) (ZBZJ / ZQZ)
Arxan Yi'ershi Airport,ZBES,YIE,,False,False,False,Arxan Yi'ershi Airport (China) (ZBES / YIE)
Hengyang Nanyue Airport,ZGHY,HNY,,False,False,False,Hengyang Nanyue Airport (China) (ZGHY / HNY)
Hongyuan Airport,ZUHY,AHJ,,False,False,False,Hongyuan Airport (China) (ZUHY / AHJ)
Wonsan Kalma International Airport,ZKWS,WOS,,False,False,False,Wonsan Kalma International Airport (North Korea) (ZKWS / WOS)
Mestia Queen Tamar Airport,UGMS,,,False,False,False,Mestia Queen Tamar Airport (Georgia) (UGMS)
Magas Airport,URMS,IGT,,False,False,False,Magas Airport (Russia) (URMS / IGT)
Talladega Municipal Airport,KASN,ASN,,False,False,False,Talladega Municipal Airport (United States) (KASN / ASN)
Greenville Downtown Airport,KGMU,GMU,,False,False,False,Greenville Downtown Airport (United States) (KGMU / GMU)
Mankato Regional Airport,KMKT,,,False,False,False,Mankato Regional Airport (United States) (KMKT)
Captain Auguste George Airport,TUPA,NGD,,False,False,False,Captain Auguste George Airport (British Virgin Islands) (TUPA / NGD)
Troy Municipal Airport at N Kenneth Campbell Field,KTOI,TOI,,False,False,False,Troy Municipal Airport at N Kenneth Campbell Field (United States) (KTOI / TOI)
Merkel Field Sylacauga Municipal Airport,KSCD,,,False,False,False,Merkel Field Sylacauga Municipal Airport (United States) (KSCD)
Enterprise Municipal Airport,KEDN,ETS,,False,False,False,Enterprise Municipal Airport (United States) (KEDN / ETS)
Ryan Field,KRYN,,,False,False,False,Ryan Field (United States) (KRYN)
Efogi Airport,AYEF,EFG,,False,False,False,Efogi Airport (Papua New Guinea) (AYEF / EFG)
Kagi Airport,AYKQ,KGW,,False,False,False,Kagi Airport (Papua New Guinea) (AYKQ / KGW)
Nadunumu Airport,AYNC,NDN,,False,False,False,Nadunumu Airport (Papua New Guinea) (AYNC / NDN)
Bodinumu Airport,AYBD,BNM,,False,False,False,Bodinumu Airport (Papua New Guinea) (AYBD / BNM)
Thomas C Russell Field,KALX,ALX,,False,False,False,Thomas C Russell Field (United States) (KALX / ALX)
Port Keats Airport,YPKT,PKT,,False,False,False,Port Keats Airport (Australia) (YPKT / PKT)
Garden Point Airport,YGPT,GPN,,False,False,False,Garden Point Airport (Australia) (YGPT / GPN)
Stade Airport,EDHS,,,False,False,False,Stade Airport (Germany) (EDHS)
Meriden Markham Municipal Airport,KMMK,,,False,False,False,Meriden Markham Municipal Airport (United States) (KMMK)
Flinders Island Airport,YFLS,,,False,False,False,Flinders Island Airport (Australia) (YFLS)
Luzern-Beromunster Airport,LSZO,,,False,False,False,Luzern-Beromunster Airport (Switzerland) (LSZO)
